dark purple, light purple, dark blue, light blue, dark green, light green, yellow, orange, dark red, light red, white
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (108)_color_threshold_idx_1_chunck_0_region_126_labels_0_G.png, 1:3327, 2:27406, 3:24957, 4:33629, 5:31496, 6:45162, 7:59114, 8:107905, 9:35122, 10:49059, 11:20069, 12:12125, 13:4159, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (109)_color_threshold_idx_1_chunck_6_region_7_labels_1_G.png, 1:1962, 2:79405, 3:27572, 4:29885, 5:25110, 6:34172, 7:21230, 8:26147, 9:10065, 10:7472, 11:1263, 12:275, 13:17, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_12_region_172_labels_2_G.png, 1:30016, 2:53136, 3:22156, 4:31806, 5:32280, 6:67211, 7:68631, 8:78212, 9:23130, 10:21076, 11:4035, 12:1448, 13:15, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_4_region_172_labels_0_G.png, 1:30016, 2:53136, 3:22156, 4:31806, 5:32280, 6:67211, 7:68631, 8:78212, 9:23130, 10:21076, 11:4035, 12:1448, 13:15, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (110)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:263, 2:42205, 3:47512, 4:47269, 5:35021, 6:33476, 7:21748, 8:21503, 9:5005, 10:3669, 11:515, 12:141, 13:9, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (111)_color_threshold_idx_2_chunck_-1_region_1_labels_0_G.png, 1:87, 2:20298, 3:52305, 4:119061, 5:108036, 6:141233, 7:64553, 8:69752, 9:12971, 10:12755, 11:2998, 12:1118, 13:152, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (112)_color_threshold_idx_2_chunck_2_region_10_labels_0_G.png, 1:123, 2:14054, 3:75606, 4:151893, 5:116981, 6:109460, 7:53302, 8:61754, 9:13341, 10:10415, 11:1331, 12:228, 13:7, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (113)_color_threshold_idx_1_chunck_11_region_8_labels_1_G.png, 1:2111, 2:55029, 3:114316, 4:190318, 5:116447, 6:109468, 7:42861, 8:25937, 9:3945, 10:2880, 11:409, 12:1694, 13:1977, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_1_chunck_4_region_1_labels_1_G.png, 1:450, 2:38241, 3:108889, 4:168470, 5:123102, 6:99572, 7:49240, 8:41718, 9:5312, 10:4463, 11:868, 12:780, 13:95, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:450, 2:38241, 3:108889, 4:168470, 5:123102, 6:99572, 7:49240, 8:41718, 9:5312, 10:4463, 11:868, 12:780, 13:95, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:62541, 2:89972, 3:22665, 4:22903, 5:18951, 6:20334, 7:14216, 8:14858, 9:4113, 10:3400, 11:522, 12:184, 13:5, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:62541, 2:89972, 3:22665, 4:22903, 5:18951, 6:20334, 7:14216, 8:14858, 9:4113, 10:3400, 11:522, 12:184, 13:5, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_10_region_40_labels_1_G.png, 1:62541, 2:89972, 3:22665, 4:22903, 5:18951, 6:20334, 7:14216, 8:14858, 9:4113, 10:3400, 11:522, 12:184, 13:5, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (116)_color_threshold_idx_1_chunck_10_region_156_labels_2_G.png, 1:275, 2:55, 3:5038, 4:20985, 5:38442, 6:76527, 7:83758, 8:133975, 9:39915, 10:40261, 11:13633, 12:5639, 13:722, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (117)_color_threshold_idx_1_chunck_4_region_98_labels_0_G.png, 1:166, 2:16, 3:511, 4:13982, 5:31011, 6:53946, 7:66765, 8:153274, 9:49337, 10:51065, 11:13018, 12:7310, 13:1579, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_6_region_1_labels_1_G.png, 1:6503, 2:94391, 3:149368, 4:155849, 5:88160, 6:85187, 7:34899, 8:22022, 9:3745, 10:3418, 11:594, 12:729, 13:95, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_7_region_1_labels_1_G.png, 1:6503, 2:94391, 3:149368, 4:155849, 5:88160, 6:85187, 7:34899, 8:22022, 9:3745, 10:3418, 11:594, 12:729, 13:95, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (119)_color_threshold_idx_2_chunck_7_region_28_labels_3_G.png, 1:52935, 2:38573, 3:15812, 4:25480, 5:21181, 6:24708, 7:22651, 8:29651, 9:14926, 10:13938, 11:3437, 12:3345, 13:1635, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (12)_color_threshold_idx_2_chunck_6_region_99_labels_1_G.png, 1:306, 2:15225, 3:30183, 4:46946, 5:57021, 6:80467, 7:70283, 8:88905, 9:26503, 10:27612, 11:7765, 12:2729, 13:212, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (120)_color_threshold_idx_1_chunck_6_region_116_labels_1_G.png, 1:689, 2:17446, 3:30694, 4:62316, 5:61482, 6:65309, 7:62886, 8:77562, 9:23937, 10:29985, 11:10418, 12:3347, 13:145, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (121)_color_threshold_idx_0_chunck_9_region_12_labels_3_G.png, 1:2461, 2:46694, 3:38610, 4:28107, 5:15532, 6:18147, 7:28697, 8:34187, 9:13900, 10:19073, 11:5882, 12:3543, 13:917, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_12_region_180_labels_1_G.png, 1:1011, 2:34448, 3:32563, 4:41545, 5:39862, 6:64851, 7:70214, 8:103351, 9:22951, 10:21506, 11:7439, 12:2917, 13:90, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:1011, 2:34448, 3:32563, 4:41545, 5:39862, 6:64851, 7:70214, 8:103351, 9:22951, 10:21506, 11:7439, 12:2917, 13:90, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_2_chunck_14_region_-1_labels_-1_G.png, 1:1011, 2:34448, 3:32563, 4:41545, 5:39862, 6:64851, 7:70214, 8:103351, 9:22951, 10:21506, 11:7439, 12:2917, 13:90, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (123)_color_threshold_idx_0_chunck_0_region_-1_labels_-1_G.png, 1:21042, 2:125523, 3:50649, 4:67921, 5:41747, 6:40379, 7:16118, 8:13917, 9:3090, 10:1289, 11:281, 12:267, 13:7, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (124)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:7343, 2:104856, 3:81886, 4:134551, 5:96286, 6:76581, 7:32965, 8:34795, 9:4857, 10:2565, 11:549, 12:189, 13:9, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (125)_color_threshold_idx_1_chunck_14_region_-1_labels_-1_G.png, 1:3087, 2:47620, 3:20214, 4:20758, 5:21272, 6:30250, 7:40488, 8:51845, 9:12378, 10:10321, 11:2431, 12:1590, 13:564, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_1_chunck_17_region_-1_labels_-1_G.png, 1:70329, 2:83161, 3:53857, 4:48843, 5:31054, 6:41629, 7:47142, 8:54640, 9:14328, 10:11008, 11:2573, 12:1135, 13:66, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_2_chunck_9_region_-1_labels_-1_G.png, 1:70329, 2:83161, 3:53857, 4:48843, 5:31054, 6:41629, 7:47142, 8:54640, 9:14328, 10:11008, 11:2573, 12:1135, 13:66, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (127)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:76, 2:3881, 3:14624, 4:31503, 5:30519, 6:47923, 7:53702, 8:51874, 9:10454, 10:9124, 11:2895, 12:2111, 13:499, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (128)_color_threshold_idx_2_chunck_1_region_53_labels_0_G.png, 1:15982, 2:80941, 3:63836, 4:43739, 5:23521, 6:24220, 7:23527, 8:45817, 9:19292, 10:21851, 11:6073, 12:1887, 13:26, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (129)_color_threshold_idx_1_chunck_15_region_3_labels_2_G.png, 1:1470, 2:46513, 3:106524, 4:95342, 5:63838, 6:60600, 7:22556, 8:19375, 9:3124, 10:2160, 11:87, 12:361, 13:78, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (13)_color_threshold_idx_1_chunck_5_region_140_labels_0_G.png, 1:5862, 2:24455, 3:19314, 4:38681, 5:40186, 6:53907, 7:62472, 8:109900, 9:36580, 10:38344, 11:10379, 12:5963, 13:1103, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (130)_color_threshold_idx_1_chunck_19_region_1_labels_3_G.png, 1:226, 2:7970, 3:51196, 4:93364, 5:51211, 6:58380, 7:33966, 8:40665, 9:7661, 10:5605, 11:1491, 12:723, 13:45, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (131)_color_threshold_idx_1_chunck_1_region_1_labels_1_G.png, 1:13004, 2:65811, 3:57893, 4:70895, 5:49475, 6:61660, 7:30685, 8:27760, 9:2878, 10:2363, 11:914, 12:548, 13:120, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_0_chunck_9_region_-1_labels_-1_G.png, 1:135, 2:14242, 3:55057, 4:127659, 5:103245, 6:123423, 7:66610, 8:76012, 9:15679, 10:13007, 11:3689, 12:1090, 13:52, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_2_chunck_9_region_53_labels_1_G.png, 1:135, 2:14242, 3:55057, 4:127659, 5:103245, 6:123423, 7:66610, 8:76012, 9:15679, 10:13007, 11:3689, 12:1090, 13:52, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:705, 2:59447, 3:32050, 4:27413, 5:23485, 6:30560, 7:30007, 8:31756, 9:9682, 10:10493, 11:3944, 12:2920, 13:1298, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_2_chunck_11_region_-1_labels_-1_G.png, 1:705, 2:59447, 3:32050, 4:27413, 5:23485, 6:30560, 7:30007, 8:31756, 9:9682, 10:10493, 11:3944, 12:2920, 13:1298, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (14)_color_threshold_idx_2_chunck_1_region_31_labels_1_G.png, 1:15778, 2:47763, 3:35483, 4:40853, 5:34165, 6:39661, 7:40890, 8:92435, 9:33259, 10:41847, 11:15866, 12:6215, 13:250, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (15)_color_threshold_idx_1_chunck_7_region_-1_labels_-1_G.png, 1:1071, 2:49914, 3:28433, 4:23332, 5:10126, 6:11298, 7:18870, 8:59175, 9:19651, 10:18466, 11:7238, 12:6188, 13:3294, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (16)_color_threshold_idx_2_chunck_1_region_27_labels_0_G.png, 1:123, 2:21539, 3:24475, 4:28298, 5:21680, 6:23613, 7:26825, 8:62311, 9:16530, 10:16792, 11:8020, 12:7231, 13:5187, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (17)_color_threshold_idx_2_chunck_2_region_52_labels_0_G.png, 1:42007, 2:36853, 3:19776, 4:27536, 5:20362, 6:22673, 7:22240, 8:39590, 9:16359, 10:10567, 11:1531, 12:783, 13:123, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (18)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:82497, 2:34078, 3:21056, 4:24191, 5:15058, 6:16677, 7:19229, 8:36627, 9:10106, 10:5607, 11:513, 12:138, 13:49, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (19)_color_threshold_idx_0_chunck_4_region_-1_labels_-1_G.png, 1:12576, 2:58667, 3:51584, 4:71925, 5:46509, 6:60969, 7:31306, 8:31443, 9:4177, 10:2727, 11:1116, 12:477, 13:84, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (2)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:383, 2:26596, 3:42374, 4:33072, 5:29376, 6:39412, 7:32399, 8:37477, 9:9581, 10:7704, 11:1388, 12:220, 13:10, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (20)_color_threshold_idx_1_chunck_31_region_112_labels_3_G.png, 1:316, 2:21929, 3:65714, 4:129673, 5:110221, 6:107493, 7:63253, 8:65081, 9:10103, 10:8146, 11:1702, 12:599, 13:407, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (21)_color_threshold_idx_1_chunck_13_region_99_labels_3_G.png, 1:70111, 2:33190, 3:11965, 4:13564, 5:11154, 6:18568, 7:29934, 8:36505, 9:10568, 10:11025, 11:3345, 12:1905, 13:501, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (21)_color_threshold_idx_2_chunck_1_region_-1_labels_-1_G.png, 1:70111, 2:33190, 3:11965, 4:13564, 5:11154, 6:18568, 7:29934, 8:36505, 9:10568, 10:11025, 11:3345, 12:1905, 13:501, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (22)_color_threshold_idx_2_chunck_0_region_102_labels_0_G.png, 1:3093, 2:48290, 3:19809, 4:20515, 5:20880, 6:29888, 7:39866, 8:51582, 9:12141, 10:9244, 11:2048, 12:1527, 13:557, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (23)_color_threshold_idx_1_chunck_1_region_64_labels_0_G.png, 1:3317, 2:46347, 3:36075, 4:39238, 5:34038, 6:49392, 7:59961, 8:101276, 9:26298, 10:26153, 11:10197, 12:7669, 13:1053, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (24)_color_threshold_idx_0_chunck_7_region_113_labels_3_G.png, 1:15969, 2:77985, 3:59703, 4:45466, 5:23532, 6:23947, 7:22978, 8:44246, 9:16644, 10:20187, 11:6101, 12:1880, 13:60, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (24)_color_threshold_idx_2_chunck_0_region_-1_labels_-1_G.png, 1:15969, 2:77985, 3:59703, 4:45466, 5:23532, 6:23947, 7:22978, 8:44246, 9:16644, 10:20187, 11:6101, 12:1880, 13:60, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (25)_color_threshold_idx_1_chunck_5_region_181_labels_0_G.png, 1:1296, 2:36287, 3:33882, 4:43043, 5:40562, 6:65319, 7:70884, 8:104506, 9:22265, 10:18730, 11:6299, 12:2788, 13:90, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (25)_color_threshold_idx_1_chunck_7_region_181_labels_0_G.png, 1:1296, 2:36287, 3:33882, 4:43043, 5:40562, 6:65319, 7:70884, 8:104506, 9:22265, 10:18730, 11:6299, 12:2788, 13:90, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (26)_color_threshold_idx_2_chunck_1_region_1_labels_0_G.png, 1:166, 2:7899, 3:51317, 4:94023, 5:47751, 6:58399, 7:36114, 8:39242, 9:7970, 10:5630, 11:1491, 12:513, 13:35, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (27)_color_threshold_idx_2_chunck_3_region_1_labels_1_G.png, 1:7251, 2:103305, 3:73308, 4:133276, 5:95840, 6:76631, 7:34058, 8:35546, 9:5313, 10:2956, 11:665, 12:265, 13:14, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (28)_color_threshold_idx_1_chunck_15_region_-1_labels_-1_G.png, 1:75832, 2:84198, 3:54291, 4:48892, 5:30932, 6:41585, 7:46851, 8:54820, 9:15252, 10:14351, 11:2857, 12:1138, 13:60, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (28)_color_threshold_idx_1_chunck_18_region_-1_labels_-1_G.png, 1:75832, 2:84198, 3:54291, 4:48892, 5:30932, 6:41585, 7:46851, 8:54820, 9:15252, 10:14351, 11:2857, 12:1138, 13:60, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (29)_color_threshold_idx_1_chunck_2_region_1_labels_0_G.png, 1:20750, 2:125453, 3:55954, 4:64401, 5:41634, 6:40542, 7:16897, 8:14391, 9:3382, 10:1394, 11:171, 12:17, 13:7, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (3)_color_threshold_idx_1_chunck_1_region_13_labels_0_G.png, 1:4298, 2:75946, 3:26929, 4:29810, 5:21519, 6:22059, 7:24359, 8:27814, 9:7955, 10:9279, 11:3797, 12:2820, 13:1025, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (30)_color_threshold_idx_0_chunck_5_region_80_labels_1_G.png, 1:52992, 2:41352, 3:15780, 4:25353, 5:21031, 6:24719, 7:22514, 8:29585, 9:14557, 10:13250, 11:3415, 12:3328, 13:1624, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (31)_color_threshold_idx_2_chunck_-1_region_49_labels_0_G.png, 1:2456, 2:49365, 3:39539, 4:28049, 5:15448, 6:18015, 7:28628, 8:34001, 9:13887, 10:19033, 11:5861, 12:3532, 13:917, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (32)_color_threshold_idx_0_chunck_-1_region_-1_labels_-1_G.png, 1:61, 2:4266, 3:15232, 4:32527, 5:31056, 6:48404, 7:53706, 8:51991, 9:10477, 10:8872, 11:2679, 12:2025, 13:494, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (32)_color_threshold_idx_1_chunck_27_region_-1_labels_-1_G.png, 1:61, 2:4266, 3:15232, 4:32527, 5:31056, 6:48404, 7:53706, 8:51991, 9:10477, 10:8872, 11:2679, 12:2025, 13:494, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (33)_color_threshold_idx_2_chunck_9_region_98_labels_3_G.png, 1:661, 2:17806, 3:30554, 4:61562, 5:61782, 6:66493, 7:65332, 8:79383, 9:25292, 10:32161, 11:11279, 12:3648, 13:146, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (34)_color_threshold_idx_1_chunck_0_region_37_labels_0_G.png, 1:7254, 2:57141, 3:32381, 4:36107, 5:31577, 6:30905, 7:35534, 8:94413, 9:37877, 10:54472, 11:20500, 12:9615, 13:928, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (35)_color_threshold_idx_1_chunck_3_region_1_labels_0_G.png, 1:1464, 2:47403, 3:109224, 4:95572, 5:63780, 6:60199, 7:22205, 8:19180, 9:2938, 10:1804, 11:34, 12:0, 13:5, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (36)_color_threshold_idx_1_chunck_15_region_207_labels_1_G.png, 1:1306, 2:102792, 3:106203, 4:139179, 5:94084, 6:73398, 7:30620, 8:19859, 9:2868, 10:1873, 11:235, 12:41, 13:2, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (36)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:1306, 2:102792, 3:106203, 4:139179, 5:94084, 6:73398, 7:30620, 8:19859, 9:2868, 10:1873, 11:235, 12:41, 13:2, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (37)_color_threshold_idx_1_chunck_11_region_-1_labels_-1_G.png, 1:22539, 2:215097, 3:72620, 4:78152, 5:55296, 6:62691, 7:34316, 8:29962, 9:4623, 10:2652, 11:443, 12:149, 13:4, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (38)_color_threshold_idx_1_chunck_4_region_61_labels_1_G.png, 1:143622, 2:77445, 3:29024, 4:32449, 5:32363, 6:45279, 7:37788, 8:49084, 9:10652, 10:10484, 11:2864, 12:1216, 13:27, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (39)_color_threshold_idx_1_chunck_1_region_10_labels_0_G.png, 1:24869, 2:72968, 3:46517, 4:49596, 5:58218, 6:71582, 7:49576, 8:58307, 9:16952, 10:13839, 11:3238, 12:1936, 13:228, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (4)_color_threshold_idx_1_chunck_10_region_46_labels_1_G.png, 1:466, 2:24384, 3:25599, 4:38263, 5:31348, 6:37873, 7:27538, 8:33722, 9:8496, 10:9032, 11:4013, 12:3559, 13:6559, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (40)_color_threshold_idx_2_chunck_1_region_1_labels_1_G.png, 1:81897, 2:77162, 3:36510, 4:40762, 5:39026, 6:53482, 7:43749, 8:54864, 9:14010, 10:10726, 11:2992, 12:1067, 13:27, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (41)_color_threshold_idx_2_chunck_3_region_54_labels_0_G.png, 1:53855, 2:50360, 3:29253, 4:35498, 5:42655, 6:61875, 7:57153, 8:70692, 9:23500, 10:23122, 11:6346, 12:2223, 13:68, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (42)_color_threshold_idx_1_chunck_6_region_115_labels_1_G.png, 1:3463, 2:20619, 3:38543, 4:58141, 5:62745, 6:81265, 7:64309, 8:80998, 9:23559, 10:24946, 11:5740, 12:1726, 13:139, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (42)_color_threshold_idx_2_chunck_10_region_114_labels_2_G.png, 1:3463, 2:20619, 3:38543, 4:58141, 5:62745, 6:81265, 7:64309, 8:80998, 9:23559, 10:24946, 11:5740, 12:1726, 13:139, 
