name, contrast, correlation, energy, homogeneity
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (123)_color_threshold_idx_0_chunck_0_region_-1_labels_-1_G.png, 1:0.5338248548491898, 2:0.8886296049032811, 3:0.9955904917990753, 4:0.9970466278898746, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (124)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:9.516585171313634, 2:0.9865083445969903, 3:0.9329470980138437, 4:0.9611392109096074, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (125)_color_threshold_idx_1_chunck_14_region_-1_labels_-1_G.png, 1:5.780473952437039, 2:0.9549751010018471, 3:0.989803696432201, 4:0.992970527773402, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_1_chunck_17_region_-1_labels_-1_G.png, 1:1.4395858560340098, 2:0.9788985020879499, 3:0.9905220829539886, 4:0.9935469468200685, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_2_chunck_9_region_-1_labels_-1_G.png, 1:1.8988117535346847, 2:0.9686789200260076, 3:0.9959622551303082, 4:0.9974449206380596, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (127)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:2.4048384727773096, 2:0.9645542448289266, 3:0.966311289523634, 4:0.9830795492661188, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (128)_color_threshold_idx_2_chunck_1_region_53_labels_0_G.png, 1:6.920511407234487, 2:0.9688183941472132, 3:0.9518987051212567, 4:0.971337834681034, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (129)_color_threshold_idx_1_chunck_15_region_3_labels_2_G.png, 1:13.322743411559202, 2:0.9890294279659791, 3:0.9045969527626574, 4:0.9403104620778505, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (13)_color_threshold_idx_1_chunck_5_region_140_labels_0_G.png, 1:14.992198346515233, 2:0.9872306903832028, 3:0.8666332402604958, 4:0.9208440766880562, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (130)_color_threshold_idx_1_chunck_19_region_1_labels_3_G.png, 1:14.874091686409527, 2:0.9697827038927241, 3:0.9540338046560217, 4:0.9690686915553768, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (131)_color_threshold_idx_1_chunck_1_region_1_labels_1_G.png, 1:4.070873062237893, 2:0.9810467653557017, 3:0.9817207390594074, 4:0.9884828929247574, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_0_chunck_9_region_-1_labels_-1_G.png, 1:0.6748047396528705, 2:0.9624882146151975, 3:0.993066029770954, 4:0.9964070967669562, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_2_chunck_9_region_53_labels_1_G.png, 1:16.893065754339123, 2:0.9811447049482702, 3:0.9102819933322445, 4:0.9432079002036718, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:3.1378371295420626, 2:0.9449308187067978, 3:0.9964753837149086, 4:0.9976686066585961, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_2_chunck_11_region_-1_labels_-1_G.png, 1:3.251522091693918, 2:0.9445781846852077, 3:0.9957575416174976, 4:0.9969468417090547, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (14)_color_threshold_idx_2_chunck_1_region_31_labels_1_G.png, 1:4.695289760387849, 2:0.9631704694616837, 3:0.9882493499282164, 4:0.9925131515747381, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (15)_color_threshold_idx_1_chunck_7_region_-1_labels_-1_G.png, 1:0.4729375818419903, 2:0.9716806075145946, 3:0.9975837244944824, 4:0.9982350224288095, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (16)_color_threshold_idx_2_chunck_1_region_27_labels_0_G.png, 1:29.103577967653344, 2:0.9740936561996877, 3:0.7635552253193678, 4:0.8558777745811738, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (17)_color_threshold_idx_2_chunck_2_region_52_labels_0_G.png, 1:6.767880431646374, 2:0.989304408583994, 3:0.7799129696402406, 4:0.8855130655114675, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (18)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:8.80236138276183, 2:0.9112195630398976, 3:0.9937480507756734, 4:0.9955491254767057, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (19)_color_threshold_idx_0_chunck_4_region_-1_labels_-1_G.png, 1:0.9322026627774174, 2:0.9315553754712088, 3:0.9920348949822593, 4:0.9953957714421446, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (2)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:8.336955390893223, 2:0.954632890783092, 3:0.9864714106864962, 4:0.9902476552217642, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (20)_color_threshold_idx_1_chunck_31_region_112_labels_3_G.png, 1:3.8115746211148216, 2:0.9911475354806927, 3:0.9570826447417133, 4:0.9756884400324369, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (21)_color_threshold_idx_1_chunck_13_region_99_labels_3_G.png, 1:17.692109484182442, 2:0.9575519680362926, 3:0.9645702034644633, 4:0.9741136925539513, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (21)_color_threshold_idx_2_chunck_1_region_-1_labels_-1_G.png, 1:2.2596874602972936, 2:0.9423857255922448, 3:0.9973002319148877, 4:0.9980868677286681, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (22)_color_threshold_idx_2_chunck_0_region_102_labels_0_G.png, 1:34.65863613545971, 2:0.9822313055250994, 3:0.5110810012447585, 4:0.7217548043793494, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (23)_color_threshold_idx_1_chunck_1_region_64_labels_0_G.png, 1:11.945494918671498, 2:0.9677651884249582, 3:0.9662278057376588, 4:0.9792985410332408, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (24)_color_threshold_idx_0_chunck_7_region_113_labels_3_G.png, 1:1.1789821989528797, 2:0.9778361893178212, 3:0.9691661411841137, 4:0.9821020333589981, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (24)_color_threshold_idx_2_chunck_0_region_-1_labels_-1_G.png, 1:1.5680726003490402, 2:0.9508562564056862, 3:0.9977829070902691, 4:0.9984438507683476, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (25)_color_threshold_idx_1_chunck_5_region_181_labels_0_G.png, 1:14.825771251515556, 2:0.984040136877724, 3:0.9023213204590625, 4:0.9385176946312052, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (25)_color_threshold_idx_1_chunck_7_region_181_labels_0_G.png, 1:2.7287888993668328, 2:0.9830810446395293, 3:0.9790185712265896, 4:0.9874702390235643, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (26)_color_threshold_idx_2_chunck_1_region_1_labels_0_G.png, 1:42.21226594301221, 2:0.9791329028910427, 3:0.5743134667911928, 4:0.7531854137458759, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (27)_color_threshold_idx_2_chunck_3_region_1_labels_1_G.png, 1:14.06832581496897, 2:0.9866701125242778, 3:0.82328440856847, 4:0.9042287912833863, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (28)_color_threshold_idx_1_chunck_15_region_-1_labels_-1_G.png, 1:1.0118229742368845, 2:0.9786455320634484, 3:0.9935890438636534, 4:0.9955134928175029, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (28)_color_threshold_idx_1_chunck_18_region_-1_labels_-1_G.png, 1:0.4125839639486439, 2:0.984322838152964, 3:0.9973152901344043, 4:0.998126942095168, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (29)_color_threshold_idx_1_chunck_2_region_1_labels_0_G.png, 1:4.607706034451364, 2:0.9667701198698118, 3:0.9856515755129589, 4:0.9910330091488252, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (3)_color_threshold_idx_1_chunck_1_region_13_labels_0_G.png, 1:1.2454218437068578, 2:0.9782635184398192, 3:0.9910674681249247, 4:0.9944295227770196, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (30)_color_threshold_idx_0_chunck_5_region_80_labels_1_G.png, 1:1.9208951340098879, 2:0.9299924981862125, 3:0.9755978547821413, 4:0.9847984275037748, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (31)_color_threshold_idx_2_chunck_-1_region_49_labels_0_G.png, 1:15.837612000402698, 2:0.9736651602054694, 3:0.8770778291226562, 4:0.9275767117563112, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (32)_color_threshold_idx_0_chunck_-1_region_-1_labels_-1_G.png, 1:0.665130874024185, 2:0.9191693717091385, 3:0.9963531840616906, 4:0.9977750250163574, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (32)_color_threshold_idx_1_chunck_27_region_-1_labels_-1_G.png, 1:2.2976044696157967, 2:0.9411686544402407, 3:0.9975049887634475, 4:0.9982110511071325, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (33)_color_threshold_idx_2_chunck_9_region_98_labels_3_G.png, 1:31.921644215739658, 2:0.9867440068813255, 3:0.6190558507464015, 4:0.7820325359195555, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (34)_color_threshold_idx_1_chunck_0_region_37_labels_0_G.png, 1:9.011318194801486, 2:0.976788608164914, 3:0.9608542653854257, 4:0.9756394653595698, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (35)_color_threshold_idx_1_chunck_3_region_1_labels_0_G.png, 1:2.116529589714502, 2:0.9882985606564265, 3:0.9710182835001372, 4:0.9867451963790373, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (36)_color_threshold_idx_1_chunck_15_region_207_labels_1_G.png, 1:3.6145499383477184, 2:0.9915948839564239, 3:0.9451282210336096, 4:0.9729063619708828, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (36)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:8.381574275695009, 2:0.9801246311486492, 3:0.9597363885112089, 4:0.975474834472649, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (37)_color_threshold_idx_1_chunck_11_region_-1_labels_-1_G.png, 1:0.9041577612986407, 2:0.9724731211387362, 3:0.9930276459376248, 4:0.9961786895832588, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (38)_color_threshold_idx_1_chunck_4_region_61_labels_1_G.png, 1:20.207198554946384, 2:0.9779456133687495, 3:0.9187402267502998, 4:0.9435727311973057, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (39)_color_threshold_idx_1_chunck_1_region_10_labels_0_G.png, 1:17.361659046934133, 2:0.9887574766310012, 3:0.8378273697471227, 4:0.8953559728846834, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (4)_color_threshold_idx_1_chunck_10_region_46_labels_1_G.png, 1:13.646718686356413, 2:0.9825624211046613, 3:0.9384099876959905, 4:0.9586083956429775, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (40)_color_threshold_idx_2_chunck_1_region_1_labels_1_G.png, 1:27.93920461029328, 2:0.9889022934328354, 3:0.47350660255374105, 4:0.686131519893379, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (41)_color_threshold_idx_2_chunck_3_region_54_labels_0_G.png, 1:4.646839912280702, 2:0.9910370251465732, 3:0.9083285310173186, 4:0.9423586806851665, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (42)_color_threshold_idx_1_chunck_6_region_115_labels_1_G.png, 1:18.77659359683149, 2:0.9588486714241857, 3:0.9607150314685969, 4:0.9727850529088485, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (42)_color_threshold_idx_2_chunck_10_region_114_labels_2_G.png, 1:0.9605461551348634, 2:0.9905765120696224, 3:0.9810863109805752, 4:0.9881156182843761, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (43)_color_threshold_idx_0_chunck_4_region_13_labels_1_G.png, 1:0.6897975647151109, 2:0.9326434801982942, 3:0.9923564529472115, 4:0.9950590150657531, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (44)_color_threshold_idx_1_chunck_3_region_74_labels_0_G.png, 1:6.572647334355307, 2:0.9895764915709546, 3:0.9287672455755642, 4:0.9539462998517864, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (45)_color_threshold_idx_1_chunck_15_region_110_labels_3_G.png, 1:10.926645321331288, 2:0.9726677114224663, 3:0.9714366538549276, 4:0.9808128871989389, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (45)_color_threshold_idx_1_chunck_2_region_-1_labels_-1_G.png, 1:5.659310201013976, 2:0.9795719117409979, 3:0.9816520021600291, 4:0.9881180680366979, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (46)_color_threshold_idx_0_chunck_6_region_26_labels_3_G.png, 1:11.758360763660303, 2:0.9401641963352517, 3:0.6825909691631367, 4:0.8035837398897941, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (46)_color_threshold_idx_1_chunck_5_region_30_labels_1_G.png, 1:11.069815668202766, 2:0.9256234372909501, 3:0.9905531628832198, 4:0.9926478630114894, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (47)_color_threshold_idx_1_chunck_11_region_55_labels_1_G.png, 1:6.006471696567543, 2:0.9534135912953581, 3:0.9860327834109428, 4:0.989075486949716, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (48)_color_threshold_idx_2_chunck_7_region_4_labels_3_G.png, 1:44.9953275624631, 2:0.9759308921366187, 3:0.5037246939383275, 4:0.6372648234705621, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (49)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:12.51994872616568, 2:0.9528502481862718, 3:0.9816539426665187, 4:0.985874816131748, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (5)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:12.781863618504609, 2:0.979303112160037, 3:0.9515711355748661, 4:0.9701478492672156, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (50)_color_threshold_idx_0_chunck_5_region_9_labels_1_G.png, 1:0.8743090504083821, 2:0.9129467159793646, 3:0.9686198428655683, 4:0.9828043163371647, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (50)_color_threshold_idx_0_chunck_9_region_9_labels_3_G.png, 1:6.33885818001815, 2:0.9485853702628624, 3:0.7188390817702307, 4:0.8275497887362263, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (51)_color_threshold_idx_1_chunck_10_region_65_labels_2_G.png, 1:64.30780529209875, 2:0.9661993020232202, 3:0.7621384012027522, 4:0.8317387888992701, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (52)_color_threshold_idx_0_chunck_0_region_42_labels_0_G.png, 1:6.95602544561503, 2:0.9719889671069528, 3:0.6105389805204682, 4:0.7585193796460198, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (53)_color_threshold_idx_0_chunck_0_region_13_labels_0_G.png, 1:6.835987001110459, 2:0.9675982698328666, 3:0.5049109964258124, 4:0.7616302050351316, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (54)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:3.607690498243138, 2:0.9423393316069055, 3:0.9947588521270554, 4:0.9962204308107405, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (55)_color_threshold_idx_1_chunck_-1_region_4_labels_0_G.png, 1:23.98364078594558, 2:0.9713437585525474, 3:0.9233765329342023, 4:0.9436294759434628, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (56)_color_threshold_idx_1_chunck_16_region_-1_labels_-1_G.png, 1:2.1477409387371726, 2:0.9577425672711224, 3:0.9963899984805583, 4:0.9974696668557316, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (57)_color_threshold_idx_1_chunck_2_region_4_labels_1_G.png, 1:8.874715516919746, 2:0.9365590768075205, 3:0.9893893915256976, 4:0.9921656948965758, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (57)_color_threshold_idx_2_chunck_0_region_4_labels_0_G.png, 1:56.39004589038541, 2:0.9661441404330388, 3:0.23725326552404133, 4:0.5086995237829094, 
