name, area, area_bbox, area_convex, area_filled, axis_major_length, area_minor_length, bbox1, bbox2, bbox3, bbox4, bbox5, bbox6, centroid1, centroid2, centroid3, centroid_local1, centroid_local2, centroid_local3, mean(coords_scaled), std(coords_scaled), mean(coords), std(coords), equivalent_diameter_area, euler_number, extent, mean(image), std(image), mean(image_convex), std(image_convex), mean(image_filled), std(image_filled), mean(inertia_tensor), std(inertia_tensor), intertia_tensor_eigvals1, intertia_tensor_eigvals2, intertia_tensor_eigvals3, label, mean(moments), std(moments), mean(moments_central), std(moments_central), mean(moments_normalized), std(moments_normalized), num_pixels, slice1, slice2, slice3, slice4, slice5, slice6, slice7, slice8, slice9, solidity
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:170.5, 8:132.0009469663002, 9:170.0, 10:132.0, 11:0.0, 12:0.0, 13:170.0, 14:132.0, 15:170.0, 16:132.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2333, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:97.42857142857143, 39:130.67501361650386, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (109)_color_threshold_idx_1_chunck_6_region_7_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:386.5, 8:163.00076686936168, 9:386.0, 10:163.0, 11:0.0, 12:0.0, 13:386.0, 14:163.0, 15:386.0, 16:163.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1486, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:220.85714285714286, 39:227.52106877099067, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_12_region_172_labels_2_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:473.5, 8:13.009611831257688, 9:473.0, 10:13.0, 11:0.0, 12:0.0, 13:473.0, 14:13.0, 15:473.0, 16:13.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:52907, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:270.57142857142856, 39:234.52801059809903, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (11)_color_threshold_idx_1_chunck_4_region_172_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:559.5, 8:143.00087412320246, 9:559.0, 10:143.0, 11:0.0, 12:0.0, 13:559.0, 14:143.0, 15:559.0, 16:143.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:6395, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:319.7142857142857, 39:297.2342579206385, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (110)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:357.5, 8:67.00186564566691, 9:357.0, 10:67.0, 11:0.0, 12:0.0, 13:357.0, 14:67.0, 15:357.0, 16:67.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2159, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:204.28571428571428, 39:184.023844950061, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (111)_color_threshold_idx_2_chunck_-1_region_1_labels_0_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:261.75, 8:235.25132837031973, 9:261.25, 10:235.25, 11:0.25, 12:0.25, 13:261.25, 14:235.250265674664, 15:261.25, 16:235.250265674664, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:6990, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:149.57142857142858, 39:220.00769930868793, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (112)_color_threshold_idx_2_chunck_2_region_10_labels_0_G.png, 1:3.0, 2:3.0, 3:3.0, 4:3.0, 5:3.265986323710904, 6:0.0, 7:193.0, 8:30.520484924063705, 9:192.5, 10:30.5, 11:0.5, 12:0.5, 13:192.5, 14:30.505463991444767, 15:192.5, 16:30.505463991444767, 17:1.9544100476116797, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.16666666666666666, 27:0.2886751345948129, 28:0.3333333333333333, 29:0.3333333333333333, 30:37444, 31:1.25, 32:2.48746859276655, 33:0.3125, 34:0.8454843286542927, 35:0, 36:0, 37:3, 38:110.28571428571429, 39:98.25726332398216, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (113)_color_threshold_idx_1_chunck_11_region_8_labels_1_G.png, 1:3.0, 2:3.0, 3:3.0, 4:3.0, 5:3.265986323710904, 6:0.0, 7:825.0, 8:121.5051439240331, 9:824.5, 10:121.5, 11:0.5, 12:0.5, 13:824.5, 14:121.50137173436904, 15:824.5, 16:121.50137173436904, 17:1.9544100476116797, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.16666666666666666, 27:0.2886751345948129, 28:0.3333333333333333, 29:0.3333333333333333, 30:59193, 31:1.25, 32:2.48746859276655, 33:0.3125, 34:0.8454843286542927, 35:0, 36:0, 37:3, 38:471.42857142857144, 39:418.4733673528979, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_1_chunck_4_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:290.0, 8:92.50135134148042, 9:289.5, 10:92.5, 11:0.0, 12:0.0, 13:289.5, 14:92.5, 15:289.5, 16:92.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:10514, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:165.71428571428572, 39:159.64130711935275, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:3.0, 2:6.0, 3:4.0, 4:3.0, 5:3.677088528342677, 6:0.8374020402130087, 7:254.75, 8:175.2546361726274, 9:254.33333333333334, 10:175.33333333333334, 11:0.8333333333333333, 12:0.16666666666666669, 13:254.33333333333334, 14:175.3346007558754, 15:254.33333333333334, 16:175.3346007558754, 17:1.9544100476116797, 18:1.0, 19:0.5, 20:0.5, 21:0.5, 22:0.6666666666666666, 23:0.4714045207910317, 24:0.5, 25:0.5, 26:0.3888888888888889, 27:0.16666666666666663, 28:0.4444444444444445, 29:0.4006168083848876, 30:4588, 31:2.1875, 32:2.068174013471787, 33:0.21296296296296297, 34:0.990567655354944, 35:0, 36:0, 37:3, 38:145.57142857142858, 39:182.87767741842958, 40:0.75, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:271.75, 8:113.25275934828255, 9:271.25, 10:113.25, 11:0.25, 12:0.25, 13:271.25, 14:113.25055187503503, 15:271.25, 16:113.25055187503503, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:1585, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:155.28571428571428, 39:159.4192265566433, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:97.0, 8:55.502252206554644, 9:96.5, 10:55.5, 11:0.0, 12:0.0, 13:96.5, 14:55.5, 15:96.5, 16:55.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2232, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:55.42857142857143, 39:63.75367136287053, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_10_region_40_labels_1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:292.25, 8:20.765054779605084, 9:291.75, 10:20.75, 11:0.25, 12:0.25, 13:291.75, 14:20.753011829611623, 15:291.75, 16:20.753011829611623, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:3900, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:167.0, 39:145.4755747785272, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (116)_color_threshold_idx_1_chunck_10_region_156_labels_2_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:657.0, 8:72.50172411743047, 9:656.5, 10:72.5, 11:0.0, 12:0.0, 13:656.5, 14:72.5, 15:656.5, 16:72.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:49661, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:375.42857142857144, 39:329.717566212945, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (117)_color_threshold_idx_1_chunck_4_region_98_labels_0_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:671.25, 8:97.75319687866991, 9:670.75, 10:97.75, 11:0.25, 12:0.25, 13:670.75, 14:97.75063938409815, 15:670.75, 16:97.75063938409815, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:19189, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:383.57142857142856, 39:340.3023265706359, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_6_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:352.0, 8:32.50384592629001, 9:351.5, 10:32.5, 11:0.0, 12:0.0, 13:351.5, 14:32.5, 15:351.5, 16:32.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:11548, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:201.14285714285714, 39:175.91916046982536, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_7_region_1_labels_1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:658.75, 8:216.25144508187685, 9:658.25, 10:216.25, 11:0.25, 12:0.25, 13:658.25, 14:216.2502890171479, 15:658.25, 16:216.2502890171479, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:5230, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:376.42857142857144, 39:364.68689394087755, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (119)_color_threshold_idx_2_chunck_7_region_28_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:518.5, 8:33.0037876614185, 9:518.0, 10:33.0, 11:0.0, 12:0.0, 13:518.0, 14:33.0, 15:518.0, 16:33.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:79742, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:296.2857142857143, 39:257.8009831997844, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (12)_color_threshold_idx_2_chunck_6_region_99_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:436.0, 8:91.50136611002046, 9:435.5, 10:91.5, 11:0.0, 12:0.0, 13:435.5, 14:91.5, 15:435.5, 16:91.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:10171, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:249.14285714285714, 39:226.5798052856108, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (120)_color_threshold_idx_1_chunck_6_region_116_labels_1_G.png, 1:5.0, 2:5.0, 3:5.0, 4:5.0, 5:5.656854249492381, 6:0.0, 7:366.0, 8:49.53281740422202, 9:365.5, 10:49.5, 11:1.0, 12:1.0, 13:365.5, 14:49.51009997970111, 15:365.5, 16:49.51009997970111, 17:2.5231325220201604, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.5, 27:0.8660254037844386, 28:1.0, 29:1.0, 30:51990, 31:9.0625, 32:24.636022279377812, 33:0.9375, 34:2.633171804117612, 35:0, 36:0, 37:5, 38:209.14285714285714, 39:184.95283458332872, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (121)_color_threshold_idx_0_chunck_9_region_12_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:281.5, 8:183.0006830588345, 9:281.0, 10:183.0, 11:0.0, 12:0.0, 13:281.0, 14:183.0, 15:281.0, 16:183.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:6164, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:160.85714285714286, 39:196.32366029553526, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_12_region_180_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:493.5, 8:107.0011682179218, 9:493.0, 10:107.0, 11:0.0, 12:0.0, 13:493.0, 14:107.0, 15:493.0, 16:107.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:4113, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:282.0, 39:257.26528831427794, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:153.5, 8:58.00215513237418, 9:153.0, 10:58.0, 11:0.0, 12:0.0, 13:153.0, 14:58.0, 15:153.0, 16:58.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1591, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:87.71428571428571, 39:87.70846886249971, 40:1.0, 
