dark purple, light purple, dark blue, light blue, dark green, light green, yellow, orange, dark red, light red, white
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:1551, 2:1766, 3:2094, 4:1179, 5:420, 6:401, 7:451, 8:165, 9:26, 10:2, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (114)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:0, 2:0, 3:114, 4:1148, 5:2678, 6:4069, 7:3528, 8:3195, 9:451, 10:330, 11:178, 12:116, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_0_chunck_2_region_-1_labels_-1_G.png, 1:134, 2:721, 3:826, 4:3019, 5:3060, 6:2135, 7:1025, 8:500, 9:14, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:138, 3:547, 4:1931, 5:2041, 6:3888, 7:5552, 8:7671, 9:2535, 10:2016, 11:396, 12:144, 13:5, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (115)_color_threshold_idx_1_chunck_10_region_40_labels_1_G.png, 1:2811, 2:4934, 3:3249, 4:1561, 5:682, 6:379, 7:24, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (116)_color_threshold_idx_1_chunck_10_region_156_labels_2_G.png, 1:0, 2:34, 3:3966, 4:5383, 5:11802, 6:39952, 7:42805, 8:35757, 9:5287, 10:3940, 11:794, 12:278, 13:95, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (117)_color_threshold_idx_1_chunck_4_region_98_labels_0_G.png, 1:0, 2:0, 3:87, 4:2745, 5:3554, 6:6729, 7:13961, 8:22531, 9:6387, 10:4917, 11:591, 12:101, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_6_region_1_labels_1_G.png, 1:3599, 2:48735, 3:52130, 4:41623, 5:22113, 6:21251, 7:11171, 8:13066, 9:3182, 10:3103, 11:454, 12:59, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (118)_color_threshold_idx_1_chunck_7_region_1_labels_1_G.png, 1:0, 2:694, 3:6478, 4:5010, 5:980, 6:1362, 7:1234, 8:1543, 9:818, 10:1256, 11:274, 12:17, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (119)_color_threshold_idx_2_chunck_7_region_28_labels_3_G.png, 1:6083, 2:11506, 3:3794, 4:3894, 5:2782, 6:4631, 7:18049, 8:25981, 9:11843, 10:9527, 11:1894, 12:1309, 13:274, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (12)_color_threshold_idx_2_chunck_6_region_99_labels_1_G.png, 1:15, 2:1046, 3:2290, 4:4666, 5:3323, 6:3099, 7:4044, 8:2290, 9:92, 10:43, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (120)_color_threshold_idx_1_chunck_6_region_116_labels_1_G.png, 1:519, 2:12826, 3:15284, 4:13874, 5:20167, 6:24844, 7:22591, 8:27186, 9:8251, 10:9466, 11:2417, 12:907, 13:26, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (121)_color_threshold_idx_0_chunck_9_region_12_labels_3_G.png, 1:224, 2:1624, 3:2145, 4:3741, 5:1245, 6:448, 7:80, 8:13, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_12_region_180_labels_1_G.png, 1:41, 2:4839, 3:4218, 4:4014, 5:2687, 6:2072, 7:2059, 8:2808, 9:395, 10:200, 11:13, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:156, 6:1183, 7:3403, 8:2146, 9:357, 10:207, 11:36, 12:16, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_2_chunck_14_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:0, 6:31, 7:1480, 8:1505, 9:65, 10:47, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (123)_color_threshold_idx_0_chunck_0_region_-1_labels_-1_G.png, 1:22, 2:689, 3:385, 4:1309, 5:1070, 6:1375, 7:511, 8:161, 9:3, 10:2, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (124)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:2803, 2:13780, 3:15570, 4:25210, 5:24363, 6:23326, 7:13891, 8:14591, 9:1418, 10:563, 11:138, 12:33, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (125)_color_threshold_idx_1_chunck_14_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:51, 6:884, 7:3145, 8:1623, 9:46, 10:1, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_1_chunck_17_region_-1_labels_-1_G.png, 1:1229, 2:11010, 3:12851, 4:7785, 5:3321, 6:2080, 7:1252, 8:1359, 9:139, 10:185, 11:7, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_2_chunck_9_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:8, 5:151, 6:2975, 7:3398, 8:3800, 9:1616, 10:2509, 11:753, 12:261, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (127)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:1, 2:66, 3:1105, 4:10249, 5:5422, 6:3093, 7:1067, 8:973, 9:141, 10:103, 11:68, 12:82, 13:76, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (128)_color_threshold_idx_2_chunck_1_region_53_labels_0_G.png, 1:1257, 2:4956, 3:3554, 4:2614, 5:954, 6:2038, 7:4117, 8:5326, 9:1541, 10:1016, 11:21, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (129)_color_threshold_idx_1_chunck_15_region_3_labels_2_G.png, 1:30, 2:365, 3:1926, 4:10624, 5:18198, 6:22973, 7:13255, 8:14386, 9:2575, 10:1609, 11:49, 12:307, 13:67, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (13)_color_threshold_idx_1_chunck_5_region_140_labels_0_G.png, 1:4050, 2:15089, 3:12858, 4:10580, 5:13365, 6:15958, 7:21392, 8:23261, 9:3279, 10:1865, 11:66, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (130)_color_threshold_idx_1_chunck_19_region_1_labels_3_G.png, 1:174, 2:5274, 3:6482, 4:5257, 5:2376, 6:2760, 7:4943, 8:4184, 9:255, 10:237, 11:140, 12:106, 13:13, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (131)_color_threshold_idx_1_chunck_1_region_1_labels_1_G.png, 1:55, 2:22, 3:854, 4:7468, 5:8600, 6:10028, 7:5308, 8:5334, 9:644, 10:432, 11:66, 12:203, 13:120, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_0_chunck_9_region_-1_labels_-1_G.png, 1:0, 2:7, 3:1242, 4:5371, 5:2494, 6:914, 7:195, 8:3, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_2_chunck_9_region_53_labels_1_G.png, 1:1, 2:4006, 3:10942, 4:26396, 5:32869, 6:48873, 7:32369, 8:39133, 9:8215, 10:5799, 11:1206, 12:338, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:19, 6:286, 7:1373, 8:1531, 9:177, 10:27, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_2_chunck_11_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:32, 6:168, 7:1012, 8:1521, 9:396, 10:334, 11:92, 12:36, 13:1, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (14)_color_threshold_idx_2_chunck_1_region_31_labels_1_G.png, 1:0, 2:20, 3:295, 4:1467, 5:1932, 6:2909, 7:3050, 8:1866, 9:107, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (15)_color_threshold_idx_1_chunck_7_region_-1_labels_-1_G.png, 1:0, 2:919, 3:1448, 4:294, 5:69, 6:42, 7:15, 8:3, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (16)_color_threshold_idx_2_chunck_1_region_27_labels_0_G.png, 1:0, 2:9, 3:781, 4:6379, 5:5553, 6:7545, 7:12282, 8:15044, 9:3564, 10:1870, 11:412, 12:160, 13:4, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (17)_color_threshold_idx_2_chunck_2_region_52_labels_0_G.png, 1:1062, 2:5195, 3:3828, 4:6664, 5:5055, 6:4419, 7:2980, 8:1396, 9:220, 10:315, 11:263, 12:224, 13:18, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (18)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:11, 5:103, 6:686, 7:2885, 8:5720, 9:2076, 10:1671, 11:312, 12:57, 13:17, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (19)_color_threshold_idx_0_chunck_4_region_-1_labels_-1_G.png, 1:1506, 2:3120, 3:2403, 4:6070, 5:3538, 6:4480, 7:2411, 8:2052, 9:260, 10:171, 11:38, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (2)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:32, 5:388, 6:1948, 7:3603, 8:5042, 9:1263, 10:954, 11:149, 12:32, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (20)_color_threshold_idx_1_chunck_31_region_112_labels_3_G.png, 1:74, 2:1257, 3:2455, 4:10294, 5:13889, 6:16061, 7:9613, 8:7085, 9:797, 10:882, 11:127, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (21)_color_threshold_idx_1_chunck_13_region_99_labels_3_G.png, 1:1543, 2:3774, 3:4459, 4:3760, 5:2277, 6:3391, 7:6236, 8:6122, 9:1571, 10:489, 11:48, 12:5, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (21)_color_threshold_idx_2_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:2, 5:72, 6:146, 7:749, 8:883, 9:231, 10:120, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (22)_color_threshold_idx_2_chunck_0_region_102_labels_0_G.png, 1:52, 2:6, 3:3, 4:1669, 5:4854, 6:10811, 7:25592, 8:30516, 9:6204, 10:3070, 11:336, 12:125, 13:6, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (23)_color_threshold_idx_1_chunck_1_region_64_labels_0_G.png, 1:0, 2:0, 3:7, 4:198, 5:1123, 6:3263, 7:10264, 8:13874, 9:2826, 10:2453, 11:818, 12:323, 13:105, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (24)_color_threshold_idx_0_chunck_7_region_113_labels_3_G.png, 1:1059, 2:2688, 3:2405, 4:3633, 5:2099, 6:996, 7:200, 8:121, 9:28, 10:5, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (24)_color_threshold_idx_2_chunck_0_region_-1_labels_-1_G.png, 1:0, 2:1, 3:12, 4:21, 5:53, 6:190, 7:839, 8:909, 9:144, 10:92, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (25)_color_threshold_idx_1_chunck_5_region_181_labels_0_G.png, 1:649, 2:27034, 3:24590, 4:18458, 5:16617, 6:20023, 7:20416, 8:25284, 9:6003, 10:5166, 11:1036, 12:193, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (25)_color_threshold_idx_1_chunck_7_region_181_labels_0_G.png, 1:204, 2:14389, 3:12768, 4:4914, 5:2295, 6:1989, 7:1423, 8:630, 9:32, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (26)_color_threshold_idx_2_chunck_1_region_1_labels_0_G.png, 1:14, 2:1137, 3:13662, 4:34136, 5:21236, 6:24710, 7:27352, 8:30745, 9:5661, 10:4003, 11:1189, 12:423, 13:18, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (27)_color_threshold_idx_2_chunck_3_region_1_labels_1_G.png, 1:1948, 2:1977, 3:5995, 4:27088, 5:30294, 6:33180, 7:22469, 8:29914, 9:4817, 10:2804, 11:644, 12:255, 13:14, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (28)_color_threshold_idx_1_chunck_15_region_-1_labels_-1_G.png, 1:3172, 2:7785, 3:4745, 4:1583, 5:461, 6:331, 7:201, 8:233, 9:7, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (28)_color_threshold_idx_1_chunck_18_region_-1_labels_-1_G.png, 1:479, 2:3048, 3:2172, 4:479, 5:112, 6:85, 7:19, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (29)_color_threshold_idx_1_chunck_2_region_1_labels_0_G.png, 1:0, 2:109, 3:1560, 4:1744, 5:1657, 6:2461, 7:2423, 8:1235, 9:134, 10:92, 11:21, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (3)_color_threshold_idx_1_chunck_1_region_13_labels_0_G.png, 1:118, 2:2847, 3:3431, 4:1810, 5:403, 6:179, 7:54, 8:5, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (30)_color_threshold_idx_0_chunck_5_region_80_labels_1_G.png, 1:848, 2:1116, 3:1155, 4:3674, 5:1518, 6:674, 7:283, 8:214, 9:56, 10:84, 11:29, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (31)_color_threshold_idx_2_chunck_-1_region_49_labels_0_G.png, 1:25, 2:4430, 3:7825, 4:4394, 5:1225, 6:2375, 7:8842, 8:6696, 9:777, 10:252, 11:181, 12:970, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (32)_color_threshold_idx_0_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:139, 4:1564, 5:949, 6:614, 7:210, 8:124, 9:29, 10:35, 11:4, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (32)_color_threshold_idx_1_chunck_27_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:0, 6:132, 7:931, 8:835, 9:50, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (33)_color_threshold_idx_2_chunck_9_region_98_labels_3_G.png, 1:0, 2:569, 3:5828, 4:21131, 5:17319, 6:17451, 7:34107, 8:37986, 9:11609, 10:13383, 11:4884, 12:1159, 13:29, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (34)_color_threshold_idx_1_chunck_0_region_37_labels_0_G.png, 1:493, 2:9964, 3:6600, 4:1896, 5:1731, 6:3191, 7:9193, 8:15427, 9:4989, 10:6245, 11:1161, 12:154, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (35)_color_threshold_idx_1_chunck_3_region_1_labels_0_G.png, 1:0, 2:501, 3:13150, 4:5106, 5:2313, 6:1490, 7:224, 8:104, 9:6, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (36)_color_threshold_idx_1_chunck_15_region_207_labels_1_G.png, 1:196, 2:37556, 3:47682, 4:24665, 5:13178, 6:8327, 7:1811, 8:180, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (36)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:0, 2:404, 3:4450, 4:15782, 5:16028, 6:19411, 7:14491, 8:14110, 9:2549, 10:1641, 11:132, 12:23, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (37)_color_threshold_idx_1_chunck_11_region_-1_labels_-1_G.png, 1:246, 2:2691, 3:4034, 4:1002, 5:36, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (38)_color_threshold_idx_1_chunck_4_region_61_labels_1_G.png, 1:7903, 2:24027, 3:16728, 4:11560, 5:7805, 6:10858, 7:15241, 8:16033, 9:3507, 10:2237, 11:201, 12:30, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (39)_color_threshold_idx_1_chunck_1_region_10_labels_0_G.png, 1:4839, 2:48190, 3:33436, 4:13453, 5:10279, 6:13257, 7:17622, 8:18132, 9:4227, 10:3896, 11:989, 12:442, 13:13, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (4)_color_threshold_idx_1_chunck_10_region_46_labels_1_G.png, 1:0, 2:371, 3:2862, 4:6259, 5:4629, 6:4897, 7:6406, 8:8864, 9:2644, 10:1758, 11:330, 12:72, 13:3, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (40)_color_threshold_idx_2_chunck_1_region_1_labels_1_G.png, 1:17026, 2:8219, 3:3633, 4:5279, 5:7291, 6:14128, 7:24271, 8:34066, 9:9631, 10:7077, 11:1334, 12:434, 13:23, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (41)_color_threshold_idx_2_chunck_3_region_54_labels_0_G.png, 1:134, 2:2306, 3:4207, 4:5488, 5:4664, 6:3918, 7:2125, 8:953, 9:329, 10:582, 11:501, 12:106, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (42)_color_threshold_idx_1_chunck_6_region_115_labels_1_G.png, 1:554, 2:2628, 3:4372, 4:2972, 5:5129, 6:8485, 7:10781, 8:12995, 9:3073, 10:3090, 11:962, 12:423, 13:55, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (42)_color_threshold_idx_2_chunck_10_region_114_labels_2_G.png, 1:496, 2:682, 3:1226, 4:1889, 5:1234, 6:696, 7:483, 8:108, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (43)_color_threshold_idx_0_chunck_4_region_13_labels_1_G.png, 1:652, 2:1375, 3:1063, 4:1979, 5:1111, 6:467, 7:93, 8:14, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (44)_color_threshold_idx_1_chunck_3_region_74_labels_0_G.png, 1:6366, 2:25649, 3:21243, 4:11851, 5:7242, 6:5884, 7:3146, 8:1533, 9:366, 10:593, 11:506, 12:49, 13:0, 
